country,countryLabel,coordinate_location
http://www.wikidata.org/entity/Q929,Central African Republic,Point(20.9 6.7)
http://www.wikidata.org/entity/Q945,Togo,Point(1.183333 8.25)
http://www.wikidata.org/entity/Q948,Tunisia,Point(10.0 34.0)
http://www.wikidata.org/entity/Q953,Zambia,Point(28.0 -14.0)
http://www.wikidata.org/entity/Q954,Zimbabwe,Point(30.0 -19.0)
http://www.wikidata.org/entity/Q958,South Sudan,Point(30.0 7.0)
http://www.wikidata.org/entity/Q962,Benin,Point(2.183333333 8.833333333)
http://www.wikidata.org/entity/Q963,Botswana,Point(23.7 -22.2)
http://www.wikidata.org/entity/Q965,Burkina Faso,Point(-2.066667 12.266667)
http://www.wikidata.org/entity/Q967,Burundi,Point(29.816667 -3.666667)
http://www.wikidata.org/entity/Q970,Comoros,Point(44.44553 -12.23333)
http://www.wikidata.org/entity/Q971,Republic of the Congo,Point(15.383330555 -0.75)
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,Point(23.656 -2.88)
http://www.wikidata.org/entity/Q977,Djibouti,Point(42.433333 11.8)
http://www.wikidata.org/entity/Q986,Eritrea,Point(38.25 15.483333)
http://www.wikidata.org/entity/Q1005,The Gambia,Point(-15.5 13.5)
http://www.wikidata.org/entity/Q1006,Guinea,Point(-11.0 10.0)
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,Point(-15.0 12.0)
http://www.wikidata.org/entity/Q1008,Ivory Coast,Point(-6.0 8.0)
http://www.wikidata.org/entity/Q1009,Cameroon,Point(12.0 7.0)
http://www.wikidata.org/entity/Q1011,Cape Verde,Point(-24.083333333 15.916666666)
http://www.wikidata.org/entity/Q1013,Lesotho,Point(28.25 -29.55)
http://www.wikidata.org/entity/Q1014,Liberia,Point(-9.75 6.533333)
http://www.wikidata.org/entity/Q1016,Libya,Point(17.0 27.0)
http://www.wikidata.org/entity/Q1019,Madagascar,Point(47.0 -20.0)
http://www.wikidata.org/entity/Q1020,Malawi,Point(34.0 -13.0)
http://www.wikidata.org/entity/Q1025,Mauritania,Point(-11.0 21.0)
http://www.wikidata.org/entity/Q1027,Mauritius,Point(57.5 -20.2)
http://www.wikidata.org/entity/Q1028,Morocco,Point(-6.0 32.0)
http://www.wikidata.org/entity/Q1029,Mozambique,Point(35.0 -19.0)
http://www.wikidata.org/entity/Q1030,Namibia,Point(17.0 -23.0)
http://www.wikidata.org/entity/Q1032,Niger,Point(10.0 17.0)
http://www.wikidata.org/entity/Q1033,Nigeria,Point(8.0 9.0)
http://www.wikidata.org/entity/Q1036,Uganda,Point(32.39 1.28)
http://www.wikidata.org/entity/Q1037,Rwanda,Point(29.873888888 -1.940277777)
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,Point(6.6 0.316667)
http://www.wikidata.org/entity/Q1041,Senegal,Point(-14.283333 14.366667)
http://www.wikidata.org/entity/Q1042,Seychelles,Point(52.766667 -7.1)
http://www.wikidata.org/entity/Q1044,Sierra Leone,Point(-12.1 8.5)
http://www.wikidata.org/entity/Q1045,Somalia,Point(47.0 6.0)
http://www.wikidata.org/entity/Q1049,Sudan,Point(32.0 15.0)
http://www.wikidata.org/entity/Q3908,Galicia,Point(-8.133333333 43.05)
http://www.wikidata.org/entity/Q16641,American Samoa,Point(-170.7075 -14.295833)
http://www.wikidata.org/entity/Q16644,Northern Mariana Islands,Point(145.78 16.705)
http://www.wikidata.org/entity/Q21203,Aruba,Point(-69.97422388 12.51106253)
http://www.wikidata.org/entity/Q26273,Sint Maarten,Point(-63.067777777 18.031944444)
http://www.wikidata.org/entity/Q26988,Cook Islands,Point(-159.783333333 -21.233333333)
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,Point(4.883333333 52.366666666)
http://www.wikidata.org/entity/Q34020,Niue,Point(-169.916666666 -19.05)
http://www.wikidata.org/entity/Q34754,Somaliland,Point(46.2 9.8)
http://www.wikidata.org/entity/Q164819,Gagauzia,Point(28.666389 46.316389)
http://www.wikidata.org/entity/Q207991,Imperial State of Iran,
http://www.wikidata.org/entity/Q244165,Republic of Artsakh,Point(46.716666666 39.866666666)
http://www.wikidata.org/entity/Q756617,Danish Realm,Point(-6.844444444 61.97)
http://www.wikidata.org/entity/Q907112,Transnistria,Point(29.624444444 46.842222222)
http://www.wikidata.org/entity/Q105082407,Kingdom of Africa,Point(33.747777777 21.869166666)
