college,collegeLabel,city,coordinate_location,country,countryLabel
http://www.wikidata.org/entity/Q592172,Cochin International Airport,,Point(76.40194444 10.15194444),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q592206,Alexandria International Airport,,Point(-92.5486 31.3275),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q593237,Kavieng Airport,,Point(150.807777777 -2.579166666),http://www.wikidata.org/entity/Q691,Papua New Guinea
http://www.wikidata.org/entity/Q594223,Kitakyushu Airport,,Point(131.035 33.845555555),http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q597139,Reno–Tahoe International Airport,,Point(-119.768055555 39.499166666),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q597308,Blaise Diagne International Airport,,Point(-17.068888888 14.670833333),http://www.wikidata.org/entity/Q1041,Senegal
http://www.wikidata.org/entity/Q597331,Bíldudalur Airport,,Point(-23.546111111 65.641388888),http://www.wikidata.org/entity/Q189,Iceland
http://www.wikidata.org/entity/Q597396,Bishop International Airport,,Point(-83.743611111 42.965555555),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q597419,Biliran Airport,,Point(124.428888888 11.515833333),http://www.wikidata.org/entity/Q928,Philippines
http://www.wikidata.org/entity/Q597483,Block Island State Airport,,Point(-71.577777777 41.168055555),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q597496,Birdsville Airport,,Point(139.3475 -25.8975),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q597590,Capital Region International Airport,,Point(-84.586194 42.778639),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q597631,Orlando Sanford International Airport,,Point(-81.2375 28.777777777),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q597649,Charlotte/Douglas International Airport,,Point(-80.943055555 35.213888888),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q597669,Boa Vista International Airport,,Point(-60.69222 2.84139),http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q597718,Birch Creek Airport,,Point(-145.824 66.2739),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q597793,Boca Raton Airport,,Point(-80.107777777 26.378611111),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q597826,Blythe Airport,,Point(-114.713 33.6147),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q597902,Bijie Feixiong Airport,,Point(105.30138889 27.30027778),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q597926,Bird Island Airport,,Point(55.20869722 -3.72146944),http://www.wikidata.org/entity/Q1042,Seychelles
http://www.wikidata.org/entity/Q597949,Matsu Nangan Airport,,Point(119.956388888 26.157416666),http://www.wikidata.org/entity/Q865,Taiwan
