college,collegeLabel,city,coordinate_location,country,countryLabel,field1,Sno,countryLabel,coordinate_location,country1,country_id
http://www.wikidata.org/entity/Q10375074,Porto of Açu,,Point(-41.0199 -21.8209),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q103798972,Balsa,,Point(-60.087386111 -3.139025),http://www.wikidata.org/entity/Q155,Brazil,19,20,Brazil,Point(-53.0 -14.0),Brasil,br
http://www.wikidata.org/entity/Q10412681,Wanggong Fishing Port,,Point(120.324 23.9692),http://www.wikidata.org/entity/Q865,Taiwan,158,159,Taiwan,Point(121.0 24.0),臺灣,tw
http://www.wikidata.org/entity/Q104198105,port of Beg Douar,,Point(-3.61493 48.68366),http://www.wikidata.org/entity/Q142,France,54,55,France,Point(2.0 47.0),France,fr
http://www.wikidata.org/entity/Q104347963,port of Locquirec,,Point(-3.6474 48.68989),http://www.wikidata.org/entity/Q142,France,54,55,France,Point(2.0 47.0),France,fr
http://www.wikidata.org/entity/Q104601096,Magong second fishing harbor,,Point(119.570646 23.565184),http://www.wikidata.org/entity/Q865,Taiwan,158,159,Taiwan,Point(121.0 24.0),臺灣,tw
http://www.wikidata.org/entity/Q104601229,Magong Fishing Harbor,,Point(119.571744 23.563537),http://www.wikidata.org/entity/Q865,Taiwan,158,159,Taiwan,Point(121.0 24.0),臺灣,tw
http://www.wikidata.org/entity/Q104699558,Milford Fish Docks,,Point(-5.04259 51.71195),http://www.wikidata.org/entity/Q145,United Kingdom,173,174,United Kingdom,Point(-2.0 54.6),United Kingdom,gb
http://www.wikidata.org/entity/Q104776267,"Harbour, Ptolemais",,Point(20.948668333 32.716025),http://www.wikidata.org/entity/Q1016,Libya,91,92,Libya,Point(17.0 27.0),ليبيا,ly
http://www.wikidata.org/entity/Q104786287,"Inner (West) Harbour, Apollonia",,Point(21.968751666 32.90409),http://www.wikidata.org/entity/Q1016,Libya,91,92,Libya,Point(17.0 27.0),ليبيا,ly
http://www.wikidata.org/entity/Q104887776,Merrien port,,Point(-3.6473 47.7822),http://www.wikidata.org/entity/Q142,France,54,55,France,Point(2.0 47.0),France,fr
http://www.wikidata.org/entity/Q10517222,Port of Hanko,,Point(22.95525 59.822055555),http://www.wikidata.org/entity/Q33,Finland,53,54,Finland,Point(27.0 65.0),Suomi / Finland,fi
http://www.wikidata.org/entity/Q105221547,Port of Bunbury,,Point(115.660980757 -33.321010917),http://www.wikidata.org/entity/Q408,Australia,9,10,Australia,Point(137.0 -28.0),Australia,au
http://www.wikidata.org/entity/Q105235415,Port of Natchitoches,,Point(-93.074153 31.831162),http://www.wikidata.org/entity/Q30,United States of America,174,175,United States of America,Point(-98.5795 39.828175),United States,us
http://www.wikidata.org/entity/Q105237886,Port of Asilah,,Point(-6.0349 35.4704),http://www.wikidata.org/entity/Q1028,Morocco,105,106,Morocco,Point(-6.0 32.0),Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,ma
http://www.wikidata.org/entity/Q105300676,"Port area, Sabratha",,Point(12.481155 32.80771),http://www.wikidata.org/entity/Q1016,Libya,91,92,Libya,Point(17.0 27.0),ليبيا,ly
http://www.wikidata.org/entity/Q105304166,Nimitz Marine Facility,,Point(-117.238888888 32.707222222),http://www.wikidata.org/entity/Q30,United States of America,174,175,United States of America,Point(-98.5795 39.828175),United States,us
http://www.wikidata.org/entity/Q105426935,Søby Harbour,,Point(10.2586 54.9423),http://www.wikidata.org/entity/Q35,Denmark,41,42,Denmark,Point(10.0 56.0),Danmark,dk
http://www.wikidata.org/entity/Q10543787,Port of Kokkola,,Point(23.022219444 63.844438888),http://www.wikidata.org/entity/Q33,Finland,53,54,Finland,Point(27.0 65.0),Suomi / Finland,fi
http://www.wikidata.org/entity/Q105477871,Svendborg Harbour,,Point(10.6162 55.0607),http://www.wikidata.org/entity/Q35,Denmark,41,42,Denmark,Point(10.0 56.0),Danmark,dk
http://www.wikidata.org/entity/Q105552455,DP World Berbera New Port,,Point(44.993581 10.433451),http://www.wikidata.org/entity/Q34754,Somaliland,149,150,Somaliland,Point(46.2 9.8),جمهورية أرض الصومال Jamhuuriyadda Soomaaliland,so
http://www.wikidata.org/entity/Q105757389,Hunzehaven,,Point(6.593166666 53.220833333),http://www.wikidata.org/entity/Q55,Netherlands,111,112,Netherlands,Point(5.55 52.316666666),Nederland,nl
http://www.wikidata.org/entity/Q105815703,Port of Boston,,Point(-0.01863 52.96878),http://www.wikidata.org/entity/Q145,United Kingdom,173,174,United Kingdom,Point(-2.0 54.6),United Kingdom,gb
http://www.wikidata.org/entity/Q10602815,Port of Norrköping,,Point(16.213 58.597),http://www.wikidata.org/entity/Q34,Sweden,155,156,Sweden,Point(15.0 61.0),Sverige,se
http://www.wikidata.org/entity/Q106128891,Skælskør Harbour,,Point(11.2888 55.2526),http://www.wikidata.org/entity/Q35,Denmark,41,42,Denmark,Point(10.0 56.0),Danmark,dk
