college,collegeLabel,city,coordinate_location,country,countryLabel,
http://www.wikidata.org/entity/Q21883377,Thurlga Reservoir,,Point(135.716666666 -32.383333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21883463,Tod River Reservoir,,Point(135.847 -34.482),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21883514,Toorak Reservoir,,Point(121.1642 -30.93899),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21883636,Tuckey Reservoir,,Point(136.1 -33.666666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21883779,Ullabidnie Reservoir,,Point(136.833333333 -33.666666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21883824,Urania Reservoir,,Point(137.621944444 -34.503055555),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21884290,Pilepudla Reservoir,,Point(136.433333333 -32.95),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21884330,Pine Hill Reservoir,,Point(137.05 -33.366666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21884356,Pinkawillinie Reservoir,,Point(136.12729 -32.96941),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21884444,Polda Rock Reservoir,,Point(135.53401 -33.02005),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21884480,Poolgarra Reservoir,,Point(136.07836 -33.29297),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21884600,Pungarra Reservoir,,Point(135.82704 -33.59994),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21884629,Pygery Reservoir,,Point(135.466666666 -33.0),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21885085,Roora Reservoir,,Point(136.40396 -33.13151),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21885434,Scrub Dam Reservoir,,Point(139.116666666 -33.383333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21885805,South Para Reservoir,,Point(138.666666666 -34.7),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21886379,Minbrie Reservoir,,Point(136.916666666 -33.533333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21886549,Monument Reservoir,,Point(136.08308 -33.46321),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21886594,Moongi Reservoir,,Point(136.1486 -32.90479),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21886629,Moorowie Reservoir,,Point(139.066666666 -33.3),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21886719,Mount Charlotte Reservoir,,Point(121.483333333 -30.733333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21886847,Mundaring Reservoir,,Point(116.216666666 -31.983333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21887093,Neales Flat Reservoir,,Point(139.3 -33.783333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21887103,Nectar Brook Reservoir,,Point(137.97328 -32.70015),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21888456,Kapunda Reservoir,,Point(138.85673 -34.30177),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21888556,Kenwyn Reservoir,,Point(139.233333333 -33.766666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21888696,Knott Hill Reservoir,,Point(135.83453 -34.46314),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21888903,Lamb Reservoir,,Point(137.783333333 -34.616666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21889474,Malgra Reservoir,,Point(136.49212 -33.25014),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21890080,Hiltaba Reservoir,,Point(135.05 -32.2),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21890104,Hog Back Reservoir,,Point(139.333333333 -33.383333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21890673,Finger Post Reservoir,,Point(139.3 -33.733333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21891546,Gum Flat Reservoir,,Point(136.316666666 -33.533333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21891957,Clay Gully Reservoir,,Point(137.9 -34.416666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21892202,Coolanie Reservoir,,Point(136.79678 -33.6045),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21892367,Cortlinye Reservoir,,Point(136.32991 -33.06044),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21892541,Cunyarie Reservoir,,Point(136.3 -32.916666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21892571,Curtinye Reservoir,,Point(136.55 -33.2),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21892657,Dare Reservoir,,Point(139.133333333 -33.266666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21893122,Duffer Reservoir,,Point(139.316666666 -33.533333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21893764,Barna Reservoir,,Point(136.59957 -33.1297),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21893787,Baroota Reservoir,,Point(138.0639 -32.91816),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21893828,Bascomb Rock Reservoir,,Point(136.266666666 -33.0),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21893958,Beetaloo Reservoir,,Point(138.21382 -33.18279),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21894477,Boor Plains Reservoir,,Point(137.75 -34.033333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21894508,Bosanquet Reservoir,,Point(136.39337 -33.40355),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21894677,Brooker Reservoir,,Point(135.85565 -34.11655),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21894819,Bullabulling Reservoir,,Point(120.8467 -30.98677),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21894876,Bundaleer Reservoir,,Point(138.540277777 -33.461388888),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21894972,Bute Reservoir,,Point(138.0 -33.866666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21895108,Canning Reservoir,,Point(116.14287 -32.17008),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21895139,Caralue Bluff Reservoir,,Point(136.216666666 -33.3),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21895142,Carappee Reservoir,,Point(136.266666666 -33.45),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21896901,Aldermans Reservoir,,Point(139.316666666 -33.05),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21897064,Anna Reservoir,,Point(133.15 -22.633333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21897202,Ash Reservoir,,Point(137.2 -33.083333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21897547,Wyangala Reservoir,,Point(148.983333333 -33.95),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21904217,Pikes Creek Reservoir,,Point(144.29203 -37.59803),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21905634,Nowra Reservoir,,Point(150.566666666 -34.816666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21905844,Olinda Reservoir,,Point(145.35431 -37.79014),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21906807,Napean Reservoir,,Point(150.58333 -34.33333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21908617,Melton Reservoir,,Point(144.54153 -37.71653),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21909212,Hepburn Lagoon,,Point(144.0 -37.36667),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21911110,Flagstaff Gully Reservoir,,Point(147.366666666 -42.833333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21911474,Fyans Lake Reservoir,,Point(142.616666666 -37.15),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21911881,Gold Creek Reservoir,,Point(152.87973 -27.45945),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21912893,Eildon Reservoir,,Point(145.916666666 -37.183333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21913076,Enoggera Reservoir,,Point(152.92188 -27.44688),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21913142,Cotter Storage Reservoir,,Point(148.92105 -35.3126),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21913868,Devilbend Reservoir,,Point(145.10319 -38.28847),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21915192,Burrinjuck Reservoir,,Point(148.75 -35.0),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21916004,Chichester Reservoir,,Point(151.7 -32.25),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21916241,Cobar Reservoir,,Point(145.86667 -31.5),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21917426,Beaconsfield Reservoir,,Point(145.40958 -38.02708),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21930048,Moonabie Reservoir,,Point(137.233333333 -33.266666666),http://www.wikidata.org/entity/Q408,Australia,au
