college,collegeLabel,city,coordinate_location,country,countryLabel,country1,country_id
http://www.wikidata.org/entity/Q1054163,Phnom Penh International Airport,,Point(104.843888888 11.546388888),http://www.wikidata.org/entity/Q424,Cambodia,ព្រះរាជាណាចក្រ​កម្ពុជា,kh
http://www.wikidata.org/entity/Q1054204,Oristano-Fenosu Airport,,Point(8.642591666 39.895413888),http://www.wikidata.org/entity/Q38,Italy,Italia,it
http://www.wikidata.org/entity/Q1054212,Albenga Airport-Riviera Airport,,Point(8.12533 44.045688),http://www.wikidata.org/entity/Q38,Italy,Italia,it
http://www.wikidata.org/entity/Q1054219,Grosseto Airport,,Point(11.071666666 42.759722222),http://www.wikidata.org/entity/Q38,Italy,Italia,it
http://www.wikidata.org/entity/Q10543856,Karlskoga Airport,,Point(14.494722 59.344445),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q1054472,Siem Reap International Airport,,Point(103.812777777 13.410555555),http://www.wikidata.org/entity/Q424,Cambodia,ព្រះរាជាណាចក្រ​កម្ពុជា,kh
http://www.wikidata.org/entity/Q10546669,Knislinge Airbase,,Point(14.13638889 56.18722222),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q1054857,Sendai Airport,,Point(140.916944444 38.139722222),http://www.wikidata.org/entity/Q17,Japan,日本,jp
http://www.wikidata.org/entity/Q1055073,Yushu Batang Airport,,Point(97.0382 32.8387),http://www.wikidata.org/entity/Q148,People's Republic of China,中国,cn
http://www.wikidata.org/entity/Q1055941,Gostomel Airport,,Point(30.191944444 50.603611111),http://www.wikidata.org/entity/Q212,Ukraine,Україна,ua
http://www.wikidata.org/entity/Q105594636,Sirajganj Airport,,Point(91.425 25.1666667),http://www.wikidata.org/entity/Q902,Bangladesh,বাংলাদেশ,bd
http://www.wikidata.org/entity/Q105619671,Bajitpur Airport,,Point(90.738048287 26.485505845),http://www.wikidata.org/entity/Q902,Bangladesh,বাংলাদেশ,bd
http://www.wikidata.org/entity/Q1056589,Taranto-Grottaglie Airport,,Point(17.404786111 40.516172222),http://www.wikidata.org/entity/Q38,Italy,Italia,it
http://www.wikidata.org/entity/Q105682144,Flughafen Chemnitz,,Point(12.89194 50.80908),http://www.wikidata.org/entity/Q183,Germany,Deutschland,de
http://www.wikidata.org/entity/Q10568314,Ljungby-Feringe Airport,,Point(13.92138889 56.95),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q10568340,Ljungbyhed Airbase,,Point(13.2125 56.08277778),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q10576434,Manihiki Island Airport,,Point(-160.999722222 -10.380555555),http://www.wikidata.org/entity/Q664,New Zealand,New Zealand / Aotearoa,nz
http://www.wikidata.org/entity/Q1057877,Minami-Daito Airport,,Point(131.263611111 25.846666666),http://www.wikidata.org/entity/Q17,Japan,日本,jp
http://www.wikidata.org/entity/Q1058344,Simón Bolívar International Airport,,Point(-66.990583333 10.603116666),http://www.wikidata.org/entity/Q717,Venezuela,Venezuela,ve
http://www.wikidata.org/entity/Q10587493,Moholm Airbase,,Point(14.10805556 58.59166667),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q10602788,Norrköping-Bråvalla Airport,,Point(16.10361111 58.61083333),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q1060852,Jieyang Chaoshan Airport,,Point(116.415 23.568611111),http://www.wikidata.org/entity/Q148,People's Republic of China,中国,cn
http://www.wikidata.org/entity/Q106119,RAF Northolt,,Point(-0.418333333 51.553055555),http://www.wikidata.org/entity/Q145,United Kingdom,United Kingdom,gb
http://www.wikidata.org/entity/Q1061330,Christchurch International Airport,,Point(172.532222222 -43.489444444),http://www.wikidata.org/entity/Q664,New Zealand,New Zealand / Aotearoa,nz
http://www.wikidata.org/entity/Q1061437,Midway International Airport,,Point(-87.7525 41.786111111),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q106169017,Q106169017,,Point(2.5077 9.3862),http://www.wikidata.org/entity/Q962,Benin,Bénin,bj
http://www.wikidata.org/entity/Q1061846,Ngurah Rai International Airport,,Point(115.1675 -8.748055555),http://www.wikidata.org/entity/Q252,Indonesia,Indonesia,id
http://www.wikidata.org/entity/Q1062308,Turin-Aeritalia Airport,,Point(7.6022013 45.086099),http://www.wikidata.org/entity/Q38,Italy,Italia,it
http://www.wikidata.org/entity/Q1062676,Las Américas International Airport,,Point(-69.668925 18.429663),http://www.wikidata.org/entity/Q786,Dominican Republic,República Dominicana,do
http://www.wikidata.org/entity/Q1064050,Nanki-Shirahama Airport,,Point(135.364444444 33.662222222),http://www.wikidata.org/entity/Q17,Japan,日本,jp
http://www.wikidata.org/entity/Q106484520,Chongqing Xiannüshan Airport,,Point(107.692222222 29.465833333),http://www.wikidata.org/entity/Q148,People's Republic of China,中国,cn
http://www.wikidata.org/entity/Q1065082,Chiang Mai International Airport,,Point(98.9625 18.766666666),http://www.wikidata.org/entity/Q869,Thailand,ประเทศไทย,th
http://www.wikidata.org/entity/Q106508778,Airport Dresden-Heller,,Point(13.756783 51.09052),http://www.wikidata.org/entity/Q183,Germany,Deutschland,de
http://www.wikidata.org/entity/Q1065223,Al Maktoum International Airport,,Point(55.172222222 24.886111111),http://www.wikidata.org/entity/Q878,United Arab Emirates,الإمارات العربية المتحدة,ae
http://www.wikidata.org/entity/Q106542312,Outeiro das Brisas Airport,,Point(-39.1425 -16.7125),http://www.wikidata.org/entity/Q155,Brazil,Brasil,br
http://www.wikidata.org/entity/Q10667793,Siljansnas Airport,,Point(14.830278 60.785833),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q10671305,Skövde Airport,,Point(13.972778 58.456112),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q1067393,Gatokae Aerodrome,,Point(158.203055555 -8.739166666),http://www.wikidata.org/entity/Q685,Solomon Islands,Solomon Islands,sb
http://www.wikidata.org/entity/Q1067405,Goroka Airport,,Point(145.391880555 -6.081688888),http://www.wikidata.org/entity/Q691,Papua New Guinea,Papua Niugini,pg
http://www.wikidata.org/entity/Q10680437,Tullinge Airbase,,Point(17.906937 59.17865),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q1068685,Cluj International Airport,,Point(23.68612 46.785092),http://www.wikidata.org/entity/Q218,Romania,România,ro
http://www.wikidata.org/entity/Q10687911,Säffle Airport,,Point(12.96111111 59.09166667),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q10687975,Scandinavian Mountains Airport,,Point(12.84 61.159),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q10688542,Söderhamn Airport,,Point(17.098333 61.261388),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q106904210,Airport of Bumba,,Point(22.481666666 2.182777777),http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,République démocratique du Congo,cd
http://www.wikidata.org/entity/Q106904247,Airport of Dekese,,Point(21.406944444 -3.506388888),http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,République démocratique du Congo,cd
http://www.wikidata.org/entity/Q106904964,Airport of Dilolo,,Point(22.343055555 -10.758333333),http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,République démocratique du Congo,cd
http://www.wikidata.org/entity/Q106905877,Faradje Airport,,Point(29.7125 3.715277777),http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,République démocratique du Congo,cd
http://www.wikidata.org/entity/Q106906505,Goyongo Airport,,Point(19.801388888 4.176388888),http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,République démocratique du Congo,cd
http://www.wikidata.org/entity/Q106908312,Basango Mboliasa airport,,Point(18.927777777 -1.5),http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,République démocratique du Congo,cd
http://www.wikidata.org/entity/Q1069088,Gurney Airport,,Point(150.333611111 -10.311388888),http://www.wikidata.org/entity/Q691,Papua New Guinea,Papua Niugini,pg
http://www.wikidata.org/entity/Q106911849,Q106911849,,Point(0.001944444 45.393055555),http://www.wikidata.org/entity/Q142,France,France,fr
http://www.wikidata.org/entity/Q106911871,Q106911871,,Point(-0.619166666 44.828611111),http://www.wikidata.org/entity/Q142,France,France,fr
